radar_frame,radar_ts,lidar_frame,lidar_ts,lidar_dt_ms,cam_left_frame,cam_left_ts,cam_left_dt_ms,cam_right_frame,cam_right_ts,cam_right_dt_ms
1,1574859771.7446604,18,1574859771.700975,43.69,1,1574859772.4277425,683.08,1,1574859772.4277425,683.08
2,1574859771.9775252,21,1574859772.001224,23.7,1,1574859772.4277425,450.22,1,1574859772.4277425,450.22
3,1574859772.2139244,23,1574859772.201406,12.52,1,1574859772.4277425,213.82,1,1574859772.4277425,213.82
4,1574859772.4525092,26,1574859772.501659,49.15,1,1574859772.4277425,24.77,1,1574859772.4277425,24.77
5,1574859772.696168,28,1574859772.701827,5.66,4,1574859772.6948657,1.3,4,1574859772.6948657,1.3
6,1574859772.9362845,30,1574859772.901996,34.29,8,1574859772.961996,25.71,8,1574859772.961996,25.71
7,1574859773.185142,33,1574859773.202251,17.11,11,1574859773.16223,22.91,11,1574859773.16223,22.91
8,1574859773.4326496,35,1574859773.402422,30.23,15,1574859773.4293664,3.28,15,1574859773.4293664,3.28
9,1574859773.68475,38,1574859773.702678,17.93,19,1574859773.6964898,11.74,19,1574859773.6964898,11.74
10,1574859773.9325423,40,1574859773.902848,29.69,23,1574859773.9636266,31.08,23,1574859773.9636266,31.08
11,1574859774.1877136,43,1574859774.203112,15.4,26,1574859774.1638544,23.86,26,1574859774.1638544,23.86
12,1574859774.4401517,45,1574859774.403287,36.86,30,1574859774.4309783,9.17,30,1574859774.4309783,9.17
13,1574859774.6961403,48,1574859774.703555,7.41,34,1574859774.6981285,1.99,34,1574859774.6981285,1.99
14,1574859774.9413598,50,1574859774.90371,37.65,38,1574859774.9652374,23.88,38,1574859774.9652374,23.88
15,1574859775.1831956,53,1574859775.203966,20.77,41,1574859775.1654778,17.72,41,1574859775.1654778,17.72
16,1574859775.4364226,55,1574859775.404137,32.29,45,1574859775.4326284,3.79,45,1574859775.4326284,3.79
17,1574859775.6861904,58,1574859775.704397,18.21,49,1574859775.6997385,13.55,49,1574859775.6997385,13.55
18,1574859775.9333472,59,1574859775.804477,128.87,52,1574859775.8999798,33.37,50,1574859775.7665052,166.84
