domain,configuration,car_AP,van_AP,common_car_van_mAP
Clean,Full,0.21746212628218506,0.45990371297214966,0.33868291962716734
Clean,Radar+LiDAR,0.21121936071767794,0.3557763792057293,0.2834978699617036
Clean,Radar+Camera,0.10584220702832715,0.4057311418109103,0.2557866744196187
Clean,LiDAR+Camera,0.01124401913875598,0.0,0.00562200956937799
Synthetic C4-L3,Full,0.10000545204081934,0.339238621641922,0.21962203684137066
Synthetic C4-L3,Radar+LiDAR,0.10563924759714173,0.29878567974875925,0.20221246367295048
Synthetic C4-L3,Radar+Camera,0.06619176880520028,0.3227564822919968,0.19447412554859855
Synthetic C4-L3,LiDAR+Camera,0.0,0.0,0.0
Real Fog,Full,0.6364819287231764,0.014992366024491666,0.3257371473738341
Real Fog,Radar+LiDAR,0.5613812450205115,0.006522999765761814,0.2839521223931366
Real Fog,Radar+Camera,0.6068717370364695,0.043665412540089966,0.3252685747882797
Real Fog,LiDAR+Camera,0.0,0.0,0.0
