condition,mAP@0.50,delta_mAP_vs_C0,relative_mAP_change_pct,ECE,delta_ECE_vs_C0,NLL,Brier,Precision,Recall,F1,MeanConfidence,EventAccuracy,ConfMinusEventAcc,Predictions,AP_Car,AP_Van,AP_Bus,GT_Car,GT_Van,GT_Bus
C0-Clean,0.33868291962716734,0.0,0.0,0.07366667316498952,0.0,0.3836997202861462,0.11491413018230685,0.25896709618714964,0.5311166429587482,0.3219523505883717,0.23833566904067993,0.18159658744667886,0.05673908159400107,1678,0.21746212628218506,0.45990371297214966,0.0,228,333,0
C1-L1,0.31260229108849186,-0.026080628538675488,-7.70060343385071,0.08953154982672523,0.015864876661735708,0.34057595439485666,0.09702974249781698,0.20453122614139563,0.5148372056266793,0.2767902846027846,0.227948397397995,0.14896907216494845,0.07897932523304654,1985,0.1928565285352913,0.4323480536416924,0.0,228,333,0
C1-L2,0.2938825309084424,-0.04480038871872494,-13.227826418894285,0.10242763798241414,0.028760964817424614,0.313079348508397,0.08566679230346644,0.17640729368670546,0.483779832464043,0.2471927582817131,0.2221875786781311,0.13026819923371646,0.09191937944441464,2144,0.1690672640132305,0.41869779780365435,0.0,228,333,0
C1-L3,0.2787386142523391,-0.059944305374828255,-17.69924076502494,0.09959929701671648,0.025932623851726955,0.30694748429340896,0.08329100464604608,0.16812207797419587,0.4668089141773352,0.23755866260322625,0.21729406714439392,0.1258373205741627,0.09145674657023123,2147,0.15443661076824472,0.40304061773643346,0.0,228,333,0
C2-L1,0.3350860356251152,-0.0035968840020521586,-1.0620210803697216,0.06628720558427444,-0.007379467580715088,0.38842666060314895,0.1169566022593754,0.26692109922398854,0.5200331910858227,0.32678532679280936,0.23987635970115662,0.19022801302931597,0.04964834667184065,1571,0.2116222845583074,0.45854978669192303,0.0,228,333,0
C2-L2,0.33433852813037335,-0.004344391496793998,-1.2827312052159108,0.06631858395441396,-0.007348089210575559,0.3918935833989005,0.11867331425452594,0.2913567460691084,0.478366524419156,0.33980726464047445,0.24350722134113312,0.21130030959752322,0.0322069117436099,1324,0.19525206291345343,0.4734249933472932,0.0,228,333,0
C2-L3,0.28132779160094706,-0.05735512802622028,-16.93475658275256,0.07463730533119331,0.0009706321662037859,0.5332160049580165,0.17751845497350596,0.40773922988943956,0.3686976450134345,0.3770224576117124,0.26075682044029236,0.33539412673879443,-0.07463730629850207,655,0.12610507809957427,0.43655050510231985,0.0,228,333,0
C2a-LiDAR-BEV-Ablation,0.20061753425475598,-0.13806538537241136,-40.765381828052625,0.068702153253312,-0.004964519911677526,0.42976660176883547,0.13400814894758845,0.24447343453510434,0.3101588430535799,0.27326430173231187,0.209440678358078,0.23469387755102042,-0.025253199192942416,812,0.08485247955095311,0.31638258895855886,0.0,228,333,0
C3-L1,0.3043682980097894,-0.03431462161737797,-10.131783927914809,0.0364241221035173,-0.03724255106147222,0.4304119489994569,0.13423737513443018,0.25619500658777955,0.5431286549707602,0.32716454477840484,0.22140097618103027,0.1998693664271718,0.021531609753858483,1582,0.1642819227302449,0.4444546732893338,0.0,228,333,0
C3-L2,0.12871695120151921,-0.20996596842564813,-61.9948501261254,0.03265391331927783,-0.04101275984571169,0.38885642941884635,0.11658519167825257,0.145360041016212,0.36302750118539595,0.2066947522666911,0.17499351501464844,0.14705882352941177,0.027934691485236668,1499,0.05120556549587493,0.20622833690716352,0.0,228,333,0
C3-L3,0.0026723015361810134,-0.3360106180909863,-99.21097245201418,0.09689896392889998,0.02323229076391045,0.1859846715392037,0.03687044516710309,0.02875038101137626,0.034178915757863124,0.030707684432500403,0.1253080517053604,0.028409090909090908,0.0968989607962695,713,0.0017071816455560627,0.003637421426805964,0.0,228,333,0
C4-L1,0.3143282521944658,-0.024354667432701538,-7.190993705709136,0.08599162674298493,0.012324953577995401,0.3445006967116611,0.09870702366684807,0.21597295398665262,0.5074482377113956,0.2862202585866964,0.22883018851280212,0.15711135611907387,0.07171883239372825,1862,0.18880510817444526,0.4398513962144863,0.0,228,333,0
C4-L2,0.2862744023023502,-0.05240851732481716,-15.474213279639281,0.09060738337126487,0.016940710206275342,0.3195471451231839,0.08876452935199516,0.200872112815101,0.43264975501817604,0.2653461217681401,0.22580663859844208,0.15063520871143377,0.07517142988700831,1702,0.15553273752650507,0.4170160670781953,0.0,228,333,0
C4-L3,0.21962203684137066,-0.11906088278579668,-35.154085395526465,0.08734515066974938,0.013678477504759853,0.3541125770529257,0.1030472928845153,0.24618801378944577,0.31580923028291447,0.27259791556545804,0.2350216507911682,0.19412381951731375,0.04089783127385446,970,0.10000545204081934,0.339238621641922,0.0,228,333,0
C5-L1,0.26766636770520846,-0.07101655192195888,-20.968448010350244,0.06262406254058134,-0.011042610624408186,0.3794432009505753,0.11302446082106772,0.20056317750677508,0.48620989410463095,0.2733773377337734,0.21893087029457092,0.17017326732673269,0.04875760296783824,1674,0.12681388617042336,0.4085188492399936,0.0,228,333,0
C5-L2,0.10711137917677283,-0.23157154045039452,-68.37414201617125,0.09605538340388345,0.022388710238893925,0.2766788311289381,0.07149161445341128,0.08359106529209623,0.24423107317844162,0.12317013643931153,0.17501135170459747,0.0873440285204991,0.08766732318409837,1729,0.017691897332972724,0.19653086102057293,0.0,228,333,0
C5-L3,0.011441195668652723,-0.32724172395851464,-96.62185631290544,0.09450868106291226,0.020842007897922732,0.22928023032741063,0.053292429020565656,0.04465472159115264,0.051623992413466095,0.04293684285816465,0.14024899899959564,0.05069124423963134,0.0895577547599643,655,0.003289473684210526,0.01959291765309492,0.0,228,333,0
