sequence,official_set,weather,radar_frames,annotated_frames,annotation_coverage,classes,train_validation_suitability,reason_for_inclusion_exclusion,local_availability
fog_6_0,test,fog_suburban,714,660,92.4%,"car (31), van (7), bus (1)",TEST_ONLY (HELD_OUT),"EXCLUDED from Train/Val: Official test split. INCLUDED as held-out test benchmark: 92.4% coverage, 2874 bboxes, verified calibration.",LOCAL (extracted & zip)
fog_8_0,train_good_and_bad_weather,fog_suburban,710,205,28.87%,"car (8), van (1)",UNSUITABLE,"EXCLUDED: Severe under-annotation (28.87% coverage, only 276 bboxes). 71.1% unannotated frames will cause crippling false-negative training penalties.",LOCAL (zip on disk)
tiny_foggy,test (slice of fog_6_0),fog_suburban,18,14,77.8%,"car, van",UNSUITABLE,EXCLUDED: Tiny 14-frame smoke test sample without calibration files; also derived from held-out test sequence fog_6_0.,LOCAL (extracted)
fog_1_0,train_bad_weather,fog_suburban,~700,~650,~92%,"car, van, bus, truck, pedestrian",HIGHLY_SUITABLE (PRIMARY_TRAIN),"INCLUDED (Recommended Target): Official RADIATE bad-weather training set. Matches fog_6_0 suburban fog scenario, physical sensor rig, and dense annotations.",REMOTE (Provider download needed)
fog_2_0,train_bad_weather,fog_suburban,~700,~650,~92%,"car, van, bus, truck, pedestrian",HIGHLY_SUITABLE (PRIMARY_VAL),INCLUDED (Recommended Target): Official RADIATE bad-weather training set. Ideal domain-matched validation sequence without leaking test scene.,REMOTE (Provider download needed)
fog_3_0,train_bad_weather,fog_suburban,~700,~650,~90%,"car, van, bus",SUITABLE (SECONDARY_TRAIN),BACKUP: Additional fog training sequence if 1-sequence training shows underfitting.,REMOTE (Provider download needed)
fog_4_0,train_bad_weather,fog_suburban,~700,~650,~90%,"car, van, bus",SUITABLE (EXPANSION),EXPANSION: Suburban fog sequence available in full RADIATE benchmark for multi-sequence scaling.,REMOTE (Provider download needed)
fog_5_0,train_bad_weather,fog_suburban,~700,~650,~90%,"car, van, bus",SUITABLE (EXPANSION),EXPANSION: Suburban fog sequence available in full RADIATE benchmark for multi-sequence scaling.,REMOTE (Provider download needed)
fog_8_1,train_good_and_bad_weather (inferred),fog_suburban,~710,Unknown,Unknown (<30% suspected),Unknown,EXCLUDED,EXCLUDED: Downloading prohibited by user instruction; same-session correlation with fog_8_0; high risk of severe under-annotation identical to fog_8_0.,REMOTE (Dropbox; download forbidden)
fog_8_2,train_good_and_bad_weather (inferred),fog_suburban,~710,Unknown,Unknown (<30% suspected),Unknown,EXCLUDED,EXCLUDED: Downloading prohibited by user instruction; same-session correlation with fog_8_0; high risk of severe under-annotation.,REMOTE (Dropbox; download forbidden)
